type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
Congo Red,T. virens (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,88%,Higher removal than activated carbon,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Malachite Green,T. virens (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,not mentioned,Similar removal to activated carbon,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Congo Red,T. viride (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,not mentioned,Higher removal than activated carbon,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
Malachite Green,T. viride (dry biomass),60 mg L−1,not mentioned,stirring,25 °C,48 h,6,not mentioned,Similar removal to activated carbon,Removal+of+Congo+red+from+an+aqueous+solution+by+fungus+Aspergillus+niger_.txt,,
azo dye,Pyricularia oryzae,not specified,not specified,not specified,not specified,not specified,not specified,cleavage of dye molecules observed,Presence of chloro- or nitro- substituents on the phenolic ring resulted in no degradation.,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
azo dye,Trametes villosa,not specified,not specified,not specified,not specified,not specified,not specified,substantial fraction of degradation products polymerize,Dyes tested contained meta-benzenesulfonic moiety.,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
azo dye,Bacillus subtilis,not specified,not specified,not specified,not specified,not specified,not specified,efficiently degraded majority of tested dyes,Reactive Yellow 81 was an exception.,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
azo dye,Bacillus subtilis (CotA-Laccase),not specified,not specified,not specified,not specified,not specified,not specified,"degradation leading to hydroxy-p-benzoquinone, benzene, phenol, and polymer mixture","Study of Sudan Orange G, a simple conventional structure.",Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
anthraquinone dye,Pleurotus ostreatus,not specified,not specified,not specified,not specified,not specified,not specified,efficiently bleached synthetic dyes,Higher laccase secretion compared to Phanerochaete chrysosporium.,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
cyanine dye,Pleurotus ostreatus,not specified,not specified,not specified,not specified,not specified,not specified,bleached by laccases,Methylene blue not an ideal substrate due to lack of -OH or -NH2 groups.,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
phthalocyanine dye,Aspergillus ochraceus,not specified,not specified,not specified,not specified,not specified,not specified,bleached by mycelium,"Laccase accompanied by lignin peroxidase, role of laccase uncertain.",Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
triphenylmethane dye,Trametes versicolor,not specified,not specified,not specified,not specified,not specified,not specified,"decolorized acid dyes quickly, basic dyes toxic but degraded at lower concentrations",Purified laccase showed different results; acid fuchsine resistant.,Biodegradation+of+azo+dyes+in+the+absence+of+a+mediator_.txt,,
"AY49, AR266, Abu62",Bjerkandera adusta,100 ppm each,5 agar plugs,shaking,28°C,7 days,5.0,88.0 ± 1.4 (7),"MnP: 291.1 ± 6.2 (7), MiP: 45.2 ± 1.6 (7)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"RY145, RR195, Rbu222, Rbk5",Bjerkandera adusta,1250 ppm each,5 agar plugs,shaking,28°C,7 days,10.0,29.2 ± 2.3 (1),"MnP: 41.9 ± 3.8 (3), MiP: 16.2 ± 0.4 (7)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"Rbu222, Rbk5",Bjerkandera adusta,1000 ppm each,5 agar plugs,shaking,28°C,7 days,9.0,50.2 ± 7.0 (1),"MnP: 195.1 ± 34.3 (2), MiP: 34.2 ± 10.0 (0.1)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"ABk194, Abk210, AY194",Bjerkandera adusta,100 ppm each,5 agar plugs,shaking,28°C,7 days,5.0,82.7 ± 7.8 (1),"MnP: 281.0 ± 57.2 (10), MiP: 32.1 ± 8.4 (4)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"AY49, AR266, Abu62",Bjerkandera adusta,100 ppm each,5 agar plugs,shaking,28°C,7 days,5.0,96.5 ± 0.5 (3),"MnP: 341.9 ± 66.8 (7), MiP: 54.7 ± 17.3 (7)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"RY145, RR195, Rbu222, Rbk5",Bjerkandera adusta,1250 ppm each,5 agar plugs,shaking,28°C,7 days,10.0,91.0 ± 6.5 (10),"MnP: 255.4 ± 43.1 (7), MiP: 70.5 ± 4.0 (7)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"DrY106, DrR80, DrBu71",Bjerkandera adusta,1000 ppm each,5 agar plugs,shaking,28°C,7 days,9.0,89.7 ± 1.5 (7),"MnP: 368.3 ± 55.9 (2), MiP: 36.9 ± 13.5 (2)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"ABk194, Abk210, AY194",Bjerkandera adusta,100 ppm each,5 agar plugs,shaking,28°C,7 days,5.0,91.4 ± 2.5 (4),"MnP: 196.7 ± 25.6 (1), MiP: 20.4 ± 7.5 (1)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
"ABk194, Abk210, AY194",Bjerkandera adusta,100 ppm each,5 agar plugs,shaking,28°C,7 days,5.0,99.0 ± 6.1 (1),"MnP: 48.8 ± 3.1 (2), MiP: 79.6 ± 14.0 (2)",Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
Real wastewater,Bjerkandera adusta,,10 fungal plugs,shaking,28°C,24 hours,,40.8 ± 6.8 (24 h),COD: 180.0 ± 26,Decolourisation+and+detoxification+in+the+fungal+treatment+of+textile+wastewaters_.txt,,
orange II,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
azure B,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
tropaeolin O,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
Congo red,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
amaranth,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
orange G,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,extensively degraded,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
"4-amino-1,1'-azobenzene-3,4'-disulfonic acid",Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,decolorized,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
sulfanilic acid,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,decolorized,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
guiacol conjugates,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,decolorized more readily,Ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
not specified,Phanerochaete chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,23-48% mineralized,nitrogen-limited ligninolytic cultures,The+potential+for+white+rot+fungi+in+the+treatment+of+pollutants_.txt,,
triarylmethane,Trametes hirsuta,0.25 mM,1.5 g (wet weight),rotary shaker,30°C,10 days,5.0,Not specified,Initial decolorization velocities depend on the substituents on the phenolic rings of the dyes.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
indigoid,Trametes hirsuta,0.25 mM,1.5 g (wet weight),rotary shaker,30°C,10 days,5.0,Not specified,Initial decolorization velocities depend on the substituents on the phenolic rings of the dyes.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
azo,Trametes hirsuta,0.25 mM,1.5 g (wet weight),rotary shaker,30°C,10 days,5.0,Not specified,Initial decolorization velocities depend on the substituents on the phenolic rings of the dyes.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
anthraquinonic,Trametes hirsuta,0.25 mM,1.5 g (wet weight),rotary shaker,30°C,10 days,5.0,Not specified,Initial decolorization velocities depend on the substituents on the phenolic rings of the dyes.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Reactive Yellow 160,Trametes hirsuta,Not specified,Not specified,Ahiba Spectradye dyeing apparatus,60°C,60 min,Not specified,K/S values between 55 and 69% of those of the blank,Dyeing results worse than when using water.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Reactive Blue 221,Not applicable,Not specified,Not specified,Not applicable,Not specified,Not specified,Not specified,4.1% detoxification,Remained most of its toxicity after treatment.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Reactive Black 5,Not applicable,Not specified,Not specified,Not applicable,Not specified,Not specified,Not specified,11.4% detoxification,Remained most of its toxicity after treatment.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Direct Blue 71,Not applicable,Not specified,Not specified,Not applicable,Not specified,Not specified,Not specified,39.0% detoxification,Remained most of its toxicity after treatment.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Basic Red 9 Base,Not applicable,Not specified,Not specified,Not applicable,Not specified,Not specified,Not specified,62.2% detoxification,Remained most of its toxicity after treatment.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Reactive Blue 19,Not applicable,Not specified,Not specified,Not applicable,Not specified,Not specified,Not specified,84.4% detoxification,Remained most of its toxicity after treatment.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Acid Blue 225,Not applicable,Not specified,Not specified,Not applicable,Not specified,Not specified,Not specified,78.0% detoxification,Remained most of its toxicity after treatment.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Acid Blue 74,Not applicable,Not specified,Not specified,Not applicable,Not specified,Not specified,Not specified,53.7% detoxification,Remained most of its toxicity after treatment.,Decolorization+and+detoxification+of+textile+dyes+with+a+laccase+from+Trametes+hirsuta_.txt,,
Poly R-478,Phanerochaete chrysosporium,not specified,10% (v/v) inoculum,orbital agitation at 100 rpm,38°C,4 days,4.5,62%,Immobilized on polyurethane foam and scouring web.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,,
Poly S-119,Phanerochaete chrysosporium,not specified,10% (v/v) inoculum,orbital agitation at 100 rpm,38°C,4 days,4.5,60%,Immobilized on polyurethane foam and scouring web.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,,
not specified,Phanerochaete chrysosporium,not specified,not specified,not specified,38°C,3 days,9.0,54%,Continuous operation in a rotating biological contactor.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,,
not specified,Phanerochaete chrysosporium,not specified,not specified,not specified,38°C,3 days,not specified,53%,Reversed feed inlet after 17 days in a rotating biological contactor.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,,
not specified,Phanerochaete chrysosporium,not specified,not specified,not specified,38°C,36 days,not specified,55%,Total phenols reduction of 63%.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,,
not specified,Phanerochaete chrysosporium,not specified,not specified,not specified,38°C,36 days,not specified,48%,COD reduction.,Development+of+a+bioreactor+system+using+an+immobilized+white+rot+fungus+for+decolourization%2C+Part+II%3A+Continuous+decolourization+tests_.txt,,
Lignin,Phanerochaete chrysosporium,2-5.7 g/L,Not specified,Shaking,37°C,140 days,Not specified,250 Units/L,Used packed-bed bioreactor with polyurethane carrier pellets.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt,,
Lignin,Phanerochaete chrysosporium,2-5.7 g/L,Not specified,Shaking,37°C,21 days,Not specified,570 Units/L,Run 2 of the packed-bed bioreactor.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt,,
Methyl tert-butyl ether (MTBE),Rhus vernicifera,50-10000 ppm,Not specified,Shaking,25°C,5 days,Not specified,Up to 38%,Degradation observed with laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt,,
Naphthalene,Rhus vernicifera,50-10000 ppm,Not specified,Shaking,25°C,5 days,Not specified,Up to 27%,Degradation observed with laccase enzyme.,Control+of+Pellet+Morphology+in+Fluidized+Bed+Reactor_.txt,,
molasses wastewater,Citeromyces siamensis,1% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 5454 to 4.6,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Citeromyces siamensis,2% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 5436 to 44.5,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Citeromyces siamensis,3% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 5452 to 4465,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Issatchenkia orientalis,1% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 4.46 to 0.474,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Issatchenkia orientalis,2% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 4.65 to 2.03,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Issatchenkia orientalis,3% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 4.81 to 2.36,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Saccharomyces cerevisiae,1% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 4.44 to 2.12,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Saccharomyces cerevisiae,2% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 4.61 to 2.29,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Saccharomyces cerevisiae,3% glucose,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 4.79 to 2.43,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Citeromyces siamensis,1% peptone,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 5434 to 2.01,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Issatchenkia orientalis,1% peptone,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 5457 to 1.93,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
molasses wastewater,Saccharomyces cerevisiae,1% yeast extract,5% yeast solution,200 rpm shaker,30°C,7 days,not specified,OD decreased from 4.45 to 2.22,Measurement at 574 nm,Color+removal+from+molasses+wastewater+by+Aspergillus+niger_.txt,,
Congo Red,Pha. chrysosporium,not specified,not specified,not specified,not specified,not specified,not specified,not specified,reported by Gill et al.,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt,,
Reactive Orange 16,Irpex lacteus,not specified,not specified,not specified,not specified,not specified,not specified,up to 80%,reported by Svobodová et al.,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt,,
Congo Red,Ganoderma lucidum,100 mg/L,not specified,not specified,not specified,not specified,not specified,not specified,reported by Jayasinghe et al.,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt,,
Blue 21,Fusarium oxysporum,not specified,not specified,not specified,not specified,not specified,not specified,not specified,reported by Fusarium spp.,Biodegradation+of+azo+dye+acid+red+B+under+high+salinity+condition_.txt,,
